"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00000_000"	"noise"	0	5	20	0.596	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.074	0	0	0	0	0	0.01	0	0	0	0	0	0.002	0	0	0	0	0	0.004	0.002	0.002	0	0.004	0.002	0.018	0.006	0	0.004	0	0	0.004	0	0	0.008	0.006	0.022	0	0.018	0	0.022	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0.004	0.488	0	0.012	0.008	0	0.006	0.04	0.002	0.052	0.006	0.006	0.002	0.034	0.016	0	0.002	0	0.002	0	0.002	0	0.008	0	0	0.002	0	0	0.002	0	0.006	0.008	0.014	0	0.008	0.004	0	0	0.044	0	0.006	0	0	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00014_994"	"noise"	0	4.9	20	0.628	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.08	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0.002	0	0.004	0.002	0.018	0.006	0	0.002	0	0	0.004	0	0	0.01	0.006	0.024	0	0.02	0	0.02	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0.004	0.486	0	0.012	0.006	0	0.006	0.042	0	0.05	0.008	0.008	0.002	0.036	0.014	0	0.002	0	0.002	0	0.002	0	0.008	0	0	0.002	0	0	0.002	0	0.006	0.008	0.012	0	0.006	0.004	0	0	0.042	0	0.006	0	0.002	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00019_992"	"noise"	0.1	5	20	0.676	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.092	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.002	0	0.002	0.002	0.016	0.008	0	0.002	0	0	0.004	0	0	0.01	0.006	0.024	0	0.02	0	0.014	0	0	0.002	0.002	0	0.002	0	0.004	0	0	0	0.006	0.474	0	0.012	0.006	0	0.006	0.042	0	0.048	0.01	0.008	0.002	0.042	0.014	0	0.002	0	0.002	0	0.002	0	0.012	0	0	0.002	0	0	0.004	0	0.006	0.008	0.012	0	0.006	0.004	0	0	0.038	0	0.004	0	0.002	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00029_989"	"noise"	0.3	4.9	20	0.604	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.07	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0.002	0	0.004	0.002	0.02	0.006	0	0.004	0	0	0.004	0	0	0.01	0.006	0.018	0	0.02	0	0.02	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0.004	0.504	0	0.01	0.006	0	0.006	0.038	0.002	0.054	0.01	0.008	0.002	0.032	0.012	0	0.002	0	0.002	0	0.002	0	0.01	0	0	0.002	0	0	0.002	0	0.004	0.008	0.012	0	0.006	0.004	0	0	0.042	0	0.004	0	0.002	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00034_987"	"noise"	0	5	20	0.752	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.076	0	0	0	0	0	0.01	0	0	0	0	0	0.002	0	0	0	0	0.002	0.004	0	0.002	0	0.002	0.002	0.012	0.008	0	0	0	0	0.004	0	0	0.008	0.006	0.028	0	0.018	0	0.01	0	0	0	0.002	0	0.002	0	0.002	0	0	0	0.006	0.498	0	0.012	0.006	0	0.006	0.056	0	0.04	0.014	0.004	0.002	0.046	0.014	0	0.002	0	0.002	0	0.002	0.002	0.01	0	0	0.002	0	0	0.002	0	0.004	0.006	0.012	0	0.01	0.006	0	0	0.032	0	0.004	0	0	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00049_981"	"noise"	0.1	5	20	0.702	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.086	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.002	0	0.002	0.002	0.012	0.008	0	0.002	0	0	0.004	0	0	0.01	0.006	0.024	0	0.024	0	0.014	0	0	0.004	0.002	0	0.002	0	0.004	0	0	0	0.006	0.484	0	0.012	0.006	0	0.006	0.05	0	0.046	0.01	0.006	0.002	0.04	0.014	0	0.002	0	0.002	0	0.002	0	0.01	0	0	0.002	0	0	0.002	0	0.006	0.004	0.012	0	0.006	0.004	0	0	0.038	0	0.004	0	0	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00059_977"	"noise"	0	5	20	0.682	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.088	0	0	0	0	0	0.01	0	0	0	0	0	0.002	0	0	0	0	0	0.004	0.002	0.002	0	0.004	0.002	0.016	0.008	0	0.002	0	0	0.004	0	0	0.008	0.006	0.024	0	0.02	0	0.014	0	0	0.002	0.002	0	0.002	0	0.004	0	0	0	0.006	0.476	0	0.012	0.008	0	0.006	0.042	0	0.046	0.008	0.006	0.002	0.04	0.018	0	0.002	0	0.002	0	0.002	0	0.012	0	0	0.002	0	0	0.004	0	0.006	0.008	0.012	0	0.008	0.004	0	0	0.038	0	0.004	0	0	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00064_975"	"noise"	0	4.8	20	0.678	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.088	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0.002	0	0.002	0.002	0.016	0.008	0	0.002	0	0	0.004	0	0	0.012	0.006	0.02	0	0.02	0	0.014	0	0	0.002	0.002	0	0.002	0	0.004	0	0	0	0.006	0.484	0	0.012	0.006	0	0.006	0.038	0	0.05	0.012	0.008	0.004	0.038	0.014	0	0.002	0	0.002	0	0.002	0	0.012	0	0	0.002	0	0	0.004	0	0.004	0.008	0.012	0	0.006	0.004	0	0	0.036	0	0.004	0	0.002	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00079_970"	"noise"	0.2	5	20	0.71	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.082	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.002	0	0	0.002	0.004	0	0.002	0	0.002	0.002	0.012	0.008	0	0.002	0	0	0.004	0	0	0.012	0.006	0.02	0	0.022	0	0.014	0	0	0.004	0.002	0	0.002	0	0.004	0	0	0	0.006	0.496	0	0.012	0.006	0	0.006	0.046	0	0.048	0.014	0.006	0.002	0.04	0.014	0	0.002	0	0.002	0	0.002	0	0.01	0	0	0.002	0	0	0.002	0	0.004	0.004	0.012	0	0.004	0.004	0	0	0.034	0	0.004	0	0	0	0	0	0	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00089_966"	"noise"	0.1	5	20	0.664	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.084	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.002	0	0.002	0.002	0.016	0.008	0	0.002	0	0	0.004	0	0	0.01	0.006	0.026	0	0.02	0	0.018	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0.004	0.482	0	0.014	0.006	0	0.006	0.04	0	0.048	0.008	0.008	0.002	0.04	0.014	0	0.002	0	0.002	0	0.002	0	0.01	0	0	0.002	0	0	0.004	0	0.006	0.008	0.012	0	0.006	0.004	0	0	0.042	0	0.004	0	0.002	0	0	0	0	"noise"
