"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00000_000"	"noise"	0.4	0.5	111	0.632	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.524	0	0.002	0.024	0	0.004	0.002	0.004	0.056	0	0.016	0.004	0	0.04	0.002	0	0	0	0.002	0	0.038	0	0	0.002	0.002	0	0.002	0	0.036	0	0.008	0.008	0.032	0.006	0	0.008	0	0.042	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00004_998"	"noise"	0.4	0.5	111	0.66	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0.002	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.52	0	0.002	0.024	0	0.002	0.002	0.004	0.058	0	0.016	0.004	0	0.04	0.002	0	0	0	0.002	0	0.038	0	0	0.002	0.002	0	0.002	0	0.036	0	0.01	0.008	0.032	0.006	0	0.008	0	0.042	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00009_996"	"noise"	0.4	0.5	111	0.67	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0.002	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.52	0	0.002	0.024	0	0.002	0.002	0.004	0.058	0	0.018	0.004	0	0.04	0.002	0	0	0	0.002	0	0.038	0	0	0.002	0.002	0	0.002	0	0.036	0	0.01	0.008	0.032	0.006	0	0.008	0	0.042	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00014_994"	"noise"	0.3	0.5	91	0.63	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0.004	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0.002	0.056	0	0.002	0.002	0.004	0	0.002	0	0	0.002	0	0.002	0.002	0.002	0.046	0.004	0.508	0	0.002	0.022	0	0.006	0.002	0.006	0.052	0	0.02	0.014	0.002	0.028	0.004	0	0.002	0	0.002	0	0.032	0	0	0.002	0.004	0	0.002	0	0.022	0.002	0.002	0.01	0.024	0.006	0.002	0.01	0	0.042	0	0.002	0	0.002	0	0	0.014	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00019_992"	"noise"	0.4	0.5	111	0.452	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.052	0	0	0.002	0.004	0	0.006	0.002	0	0.002	0	0.004	0.002	0.002	0.04	0.002	0.532	0	0.002	0.026	0	0.004	0.002	0.004	0.052	0	0.016	0.004	0	0.03	0	0	0	0	0.002	0	0.03	0	0	0.002	0.002	0	0.002	0	0.048	0	0.008	0.008	0.02	0.006	0	0.008	0	0.04	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00024_990"	"noise"	0.4	0.5	111	0.644	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.524	0	0.002	0.024	0	0.004	0.002	0.004	0.056	0	0.016	0.004	0	0.04	0.002	0	0	0	0.002	0	0.038	0	0	0.002	0.002	0	0.002	0	0.036	0	0.008	0.008	0.032	0.006	0	0.008	0	0.042	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00029_989"	"noise"	0.3	0.5	9	0.634	""	""	""	""	""	"58c40dc431015c000ded877c"	0.026	0	0.014	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.01	0.004	0	0.004	0	0	0	0.02	0.002	0	0	0	0	0	0	0	0.064	0	0.022	0	0	0	0	0	0	0	0	0.004	0	0	0.022	0.002	0.404	0	0.008	0.012	0	0.01	0.002	0.008	0.106	0.028	0.012	0	0	0.026	0.002	0.002	0.004	0	0.016	0	0	0.002	0	0	0	0	0.002	0	0.002	0	0	0.03	0.01	0.02	0.018	0.008	0	0.062	0	0.002	0	0.004	0	0	0.002	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00034_987"	"noise"	0.4	0.5	111	0.646	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.524	0	0.002	0.024	0	0.004	0.002	0.004	0.056	0	0.016	0.004	0	0.04	0.002	0	0	0	0.002	0	0.038	0	0	0.002	0.002	0	0.002	0	0.036	0	0.008	0.008	0.032	0.006	0	0.008	0	0.042	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00039_985"	"noise"	0.4	0.5	111	0.688	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0.002	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.512	0	0.002	0.024	0	0.002	0.002	0.004	0.056	0	0.018	0.004	0	0.044	0.002	0	0	0	0.002	0	0.04	0	0	0.002	0.002	0	0.002	0	0.034	0	0.01	0.008	0.032	0.006	0	0.008	0	0.048	0	0.002	0	0.002	0	0	0.012	"noise"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00044_983"	"noise"	0.4	0.5	111	0.67	""	""	""	""	""	"58c40dc431015c000ded877c"	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0.002	0.002	0.004	0	0.002	0	0	0.002	0	0	0.002	0.002	0.036	0.002	0.52	0	0.002	0.024	0	0.002	0.002	0.004	0.058	0	0.018	0.004	0	0.04	0.002	0	0	0	0.002	0	0.038	0	0	0.002	0.002	0	0.002	0	0.036	0	0.01	0.008	0.032	0.006	0	0.008	0	0.042	0	0.002	0	0.002	0	0	0.012	"noise"
