"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir437-2014-Pass1-Tron1-Chiro_0_00000_000"	"noise"	0.2	0.5	204	0.62	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.04	0	0	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0.02	0	0	0.002	0.008	0	0.022	0	0	0.006	0	0.002	0.006	0	0.006	0.004	0.266	0	0	0.058	0	0.028	0.03	0.006	0.104	0	0.008	0.012	0.006	0.08	0.01	0	0.034	0	0.002	0.002	0.024	0	0	0.002	0	0	0.002	0	0.024	0	0.018	0.002	0.05	0.002	0.006	0.032	0.002	0.056	0	0.004	0	0	0	0	0.004	"noise"	0.266	""	""	1	800	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00005_000"	"noise"	0	0.2	204	0.49	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.04	0.002	0	0.002	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.018	0	0	0	0.008	0	0.026	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.27	0	0	0.056	0	0.024	0.028	0.006	0.11	0	0.008	0.014	0.006	0.064	0.012	0	0.03	0	0.006	0.002	0.026	0	0	0.002	0	0	0.002	0	0.032	0	0.016	0.002	0.044	0.002	0.006	0.028	0.002	0.058	0	0.004	0	0	0	0	0.006	"noise"	0.27	""	""	1	805	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00010_000"	"noise"	0.2	0.5	188	0.57	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.038	0.002	0	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0.02	0	0	0	0.008	0	0.026	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.256	0	0	0.056	0	0.026	0.028	0.006	0.112	0	0.008	0.014	0.006	0.072	0.012	0	0.03	0	0.006	0.002	0.024	0	0	0.002	0	0	0.002	0	0.028	0	0.02	0.002	0.05	0.002	0.006	0.028	0.002	0.058	0	0.004	0	0	0	0	0.006	"noise"	0.256	""	""	1	810	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00020_000"	"noise"	0	0.5	157	0.524	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0	0.038	0.002	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.022	0	0	0	0.008	0	0.026	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.258	0	0	0.056	0	0.028	0.028	0.006	0.108	0	0.006	0.014	0.006	0.07	0.012	0	0.036	0	0.006	0.004	0.02	0	0	0.002	0	0	0.002	0	0.03	0	0.018	0.002	0.046	0.002	0.006	0.028	0.002	0.062	0	0.002	0	0	0	0	0.006	"noise"	0.258	""	""	1	820	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00025_000"	"noise"	0.1	0.5	205	0.542	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.038	0.002	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.022	0	0	0	0.008	0	0.026	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.268	0	0	0.056	0	0.026	0.028	0.006	0.104	0	0.008	0.014	0.006	0.07	0.012	0	0.03	0	0.006	0.004	0.02	0	0	0.002	0	0	0.002	0	0.03	0	0.018	0.002	0.046	0.002	0.006	0.028	0.002	0.058	0	0.004	0	0	0	0	0.006	"noise"	0.268	""	""	1	825	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00030_000"	"noise"	0.2	0.5	27	0.798	"Phogri, Tetvir"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.01	0.002	0.002	0	0	0.004	0.004	0	0.002	0	0	0.002	0.01	0	0	0.006	0.002	0.04	0.008	0.002	0.006	0	0	0.002	0.002	0.002	0	0	0	0	0	0.002	0	0.05	0	0	0.002	0.002	0	0.002	0	0	0.002	0	0	0	0	0	0	0.194	0	0.006	0.006	0	0.04	0.04	0.002	0.056	0.014	0.01	0.004	0.002	0.04	0.006	0.008	0.058	0	0.016	0.008	0.002	0	0.002	0.002	0	0	0.002	0	0	0	0	0.02	0.056	0.004	0	0.072	0.002	0.132	0	0.024	0	0.002	0	0	0.004	"noise"	0.194	""	""	1	830	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00035_000"	"noise"	0	0	125	0.238	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0.006	0	0.002	0	0	0	0	0	0	0	0	0.006	0	0.036	0.004	0	0	0	0	0	0	0.002	0	0.002	0	0	0	0	0.002	0.034	0.002	0	0	0.008	0.002	0.024	0	0	0.008	0	0.004	0.026	0.002	0.01	0.004	0.23	0	0.002	0.044	0	0.018	0.02	0.016	0.096	0.008	0.008	0.012	0.008	0.05	0.022	0	0.026	0	0.004	0.002	0.018	0.002	0	0.002	0	0	0	0	0.038	0	0.024	0.002	0.03	0.002	0.006	0.024	0.002	0.09	0	0.002	0	0.002	0	0	0.006	"noise"	0.23	""	""	1	835	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00040_000"	"noise"	0	0.5	22	0.772	"Tetvir"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.012	0.002	0.002	0	0	0.004	0.006	0	0.002	0	0	0	0.01	0	0	0.002	0.002	0.036	0.012	0.002	0.004	0	0	0.002	0.002	0.002	0	0	0	0	0	0.002	0	0.05	0	0.002	0	0.002	0	0.002	0	0	0.002	0	0	0	0	0	0	0.214	0	0.006	0.012	0	0.038	0.05	0.002	0.05	0.016	0.008	0.004	0.002	0.03	0.006	0.008	0.058	0	0.018	0.01	0.004	0	0	0.002	0	0	0.002	0	0	0	0	0.016	0.046	0.004	0	0.06	0.002	0.138	0	0.024	0	0.002	0	0	0.006	"noise"	0.214	""	""	1	840	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00045_000"	"noise"	0	0.3	19	0.532	"Tetvir, Phogri"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.01	0.002	0.004	0	0	0.004	0.008	0.002	0.002	0	0	0	0.01	0.002	0	0.006	0.002	0.028	0.016	0.002	0.002	0.002	0	0.002	0.004	0.002	0	0	0	0	0	0.002	0	0.044	0	0.002	0	0.002	0	0.004	0	0	0.002	0	0	0.002	0	0	0	0.218	0	0.004	0.016	0	0.048	0.05	0.008	0.066	0.014	0.008	0.006	0.002	0.026	0.006	0.01	0.038	0	0.024	0.008	0.006	0.002	0	0	0	0	0.002	0	0	0	0	0.012	0.046	0.004	0	0.048	0.002	0.12	0	0.028	0	0.002	0	0	0.008	"noise"	0.218	""	""	1	845	"noise"	0
"Cir437-2014-Pass1-Tron1-Chiro_0_00050_000"	"noise"	0	0.5	117	0.388	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0.038	0.002	0	0.002	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.03	0	0	0	0.008	0	0.03	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.272	0	0.002	0.048	0	0.026	0.028	0.006	0.1	0	0.008	0.014	0.008	0.058	0.014	0	0.032	0	0.006	0.004	0.014	0	0	0.002	0	0	0.002	0	0.034	0	0.018	0.002	0.036	0.002	0.006	0.026	0.002	0.074	0	0.002	0	0.002	0	0	0.006	"noise"	0.272	""	""	1	850	"noise"	0
