"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir461-2014-Pass2-Tron1-Chiro_0_00000_000"	"noise"	0.1	0.5	26	0.55	"Tetvir, Pippip"	""	""	""	""	"582ae419783121000fce8b4e"	0.016	0	0.002	0	0.004	0.012	0.006	0.002	0	0	0	0.002	0.008	0	0.002	0.01	0.008	0.006	0.014	0.006	0.01	0.002	0.002	0.002	0.008	0.008	0	0	0.002	0	0	0.01	0	0.03	0	0.008	0	0	0.002	0	0	0	0.008	0	0.004	0.002	0	0.004	0.002	0.278	0	0.016	0.01	0	0.02	0.018	0.008	0.034	0.028	0.008	0.004	0.006	0.016	0.006	0.01	0.026	0	0.024	0.014	0.014	0.002	0	0.006	0	0	0	0	0	0	0.002	0.034	0.066	0	0.004	0.052	0	0.044	0	0.034	0.002	0	0	0	0.012	"noise"	0.278	0.962673402212697	""	""	1	800	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00015_000"	"noise"	0.2	0.5	25	0.648	""	""	""	""	""	"582ae419783121000fce8b4e"	0.018	0	0	0	0.004	0.012	0.008	0.002	0	0	0	0.002	0.014	0	0.002	0.012	0.008	0.01	0.012	0.004	0.01	0	0.002	0	0.008	0.006	0	0	0.002	0	0	0.006	0	0.026	0	0.008	0	0	0	0	0	0	0.006	0	0.004	0.002	0	0.004	0	0.286	0	0.014	0.012	0	0.018	0.022	0.008	0.034	0.03	0.01	0.002	0.002	0.018	0.008	0.01	0.03	0	0.016	0.014	0.014	0.002	0	0.006	0	0	0	0	0.002	0.002	0.002	0.036	0.064	0	0.004	0.056	0	0.044	0	0.034	0.002	0	0	0	0.006	"noise"	0.286	0.157251953426859	""	""	1	815	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00015_000"	"Confus"	0.3	0.5	25	0.232	"Plaalb"	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0	0.014	0.004	0.006	0.002	0	0	0.002	0	0.01	0.082	0.012	0.002	0.008	0.042	0.022	0.016	0.008	0.032	0.002	0.002	0	0	0.006	0	0	0.014	0.002	0.002	0.034	0.002	0.016	0.004	0.004	0.004	0.004	0.006	0.002	0	0	0.006	0.002	0.006	0.002	0.006	0.002	0.004	0.004	0	0.016	0.012	0	0.002	0.014	0.016	0.016	0.012	0.024	0.002	0	0.028	0	0.032	0.13	0.004	0.034	0.014	0.014	0.01	0.004	0.006	0	0	0.002	0	0	0.002	0.002	0.092	0.006	0	0.006	0.024	0	0.036	0	0.008	0.022	0.004	0	0	0.004	"Plaalb"	0.13	0.0111323662700698	""	""	1	815	"Plaalb"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00020_000"	"noise"	0	0	126	0.206	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0.002	0	0	0.016	0.004	0	0.002	0	0	0	0	0.004	0	0.002	0.004	0.002	0.022	0.016	0	0.014	0	0.002	0.002	0.004	0.004	0.002	0.004	0	0	0	0.002	0.002	0.016	0.002	0	0	0.006	0.012	0.008	0	0	0.008	0	0.012	0.014	0	0.026	0.01	0.256	0	0.004	0.008	0	0.004	0.004	0.01	0.034	0.006	0.014	0.002	0	0.032	0.016	0	0.02	0	0.008	0.004	0.018	0.002	0	0.002	0.002	0	0.004	0	0.092	0.01	0.036	0.012	0.044	0	0.004	0.02	0	0.068	0	0.008	0	0.002	0	0	0.026	"noise"	0.256	0.0650641552719081	""	""	1	820	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00065_000"	"noise"	0.3	0.5	24	0.368	""	""	""	""	""	"582ae419783121000fce8b4e"	0.016	0	0.004	0	0.004	0.014	0.004	0.002	0	0	0	0.002	0.008	0	0.002	0.006	0.012	0.006	0.012	0.006	0.016	0.004	0.002	0.004	0.012	0.006	0	0	0.002	0	0	0.008	0	0.024	0	0.008	0	0	0.002	0	0	0	0.006	0	0.01	0.002	0	0.004	0	0.252	0	0.018	0.012	0	0.018	0.026	0.01	0.044	0.03	0.008	0.002	0.004	0.012	0.008	0.012	0.026	0	0.022	0.018	0.014	0.002	0	0.004	0	0	0	0	0.002	0.002	0.002	0.032	0.068	0	0.006	0.04	0	0.046	0	0.038	0.002	0	0	0	0.012	"noise"	0.252	0.739614570984376	""	""	1	865	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00070_000"	"noise"	0	0.2	29	0.548	"Plaalb"	""	""	""	""	"582ae419783121000fce8b4e"	0.014	0	0.002	0	0.004	0.014	0.006	0.002	0	0	0	0.004	0.014	0	0.002	0.012	0.01	0.004	0.014	0.006	0.01	0.002	0.002	0.002	0.008	0.01	0	0	0.002	0	0	0.01	0	0.032	0	0.008	0	0	0.002	0	0	0	0.01	0	0.002	0.004	0	0.004	0.002	0.274	0	0.016	0.008	0	0.02	0.02	0.006	0.032	0.03	0.008	0.006	0.008	0.014	0.008	0.01	0.028	0	0.024	0.008	0.012	0	0	0.008	0	0	0	0	0	0	0.002	0.032	0.066	0	0.004	0.058	0	0.044	0	0.02	0.002	0.002	0	0	0.012	"noise"	0.274	0.0844599977533481	""	""	1	870	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00070_000"	"Plaalb"	0.1	0.2	30	0.216	""	""	""	""	""	"582ae419783121000fce8b4e"	0.008	0.008	0.002	0.016	0.012	0.008	0	0	0	0.002	0	0.018	0.066	0.012	0.004	0.006	0.022	0.026	0.008	0	0.03	0	0.008	0	0	0.008	0	0.004	0.004	0	0	0.034	0.002	0.026	0	0	0.002	0	0.01	0	0	0	0.004	0.002	0.016	0.004	0.014	0.012	0.004	0.026	0.002	0.008	0.012	0.002	0.002	0.01	0.008	0.016	0.01	0.026	0.012	0.002	0.016	0.004	0.014	0.156	0	0.016	0.014	0.012	0.004	0.006	0.01	0	0	0.008	0	0	0.002	0	0.06	0.022	0	0.004	0.026	0	0.038	0	0.008	0.018	0.004	0.004	0.002	0.014	"Plaalb"	0.156	0.0357193304371896	""	""	1	870	"Plaalb"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00140_000"	"noise"	0.2	0.5	70	0.39	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.004	0.006	0	0.002	0	0	0	0	0.01	0	0.002	0.008	0.004	0.01	0.006	0.002	0.006	0.002	0.002	0.002	0.002	0.012	0.002	0	0	0	0	0.004	0.002	0.026	0	0	0	0.008	0.016	0.012	0	0	0.016	0	0.02	0.018	0	0.028	0.012	0.314	0	0.002	0.002	0	0.006	0.004	0.012	0.032	0.01	0.028	0.014	0.006	0.016	0.012	0.004	0.02	0	0.012	0.004	0.012	0.002	0	0.004	0.002	0	0	0	0.012	0.01	0.008	0.024	0.052	0	0.004	0.03	0	0.04	0	0.014	0	0.006	0	0	0.032	"noise"	0.314	0.167988270324606	""	""	1	940	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00145_000"	"noise"	0	0.1	107	0.474	"Tetvir"	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.006	0.002	0	0	0	0	0	0	0.004	0	0.002	0.006	0.002	0.016	0.004	0	0.004	0.002	0.002	0	0	0.006	0.002	0	0	0	0	0.002	0.002	0.02	0	0	0	0.006	0.008	0.008	0	0	0.01	0	0.008	0.008	0	0.016	0.008	0.366	0	0.002	0.01	0	0.004	0.004	0.008	0.044	0.012	0.018	0.002	0	0.022	0.008	0	0.016	0	0.01	0.004	0.02	0	0	0.002	0.002	0	0	0	0.072	0.004	0.028	0.016	0.068	0	0.002	0.022	0	0.036	0	0.008	0	0.002	0	0	0.028	"noise"	0.366	0.686883701669896	""	""	1	945	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00295_000"	"noise"	0	0.4	204	0.692	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0	0	0.004	0.002	0	0	0	0	0	0	0.002	0	0.002	0.008	0	0.012	0.002	0	0.014	0	0.002	0	0	0.012	0.002	0	0	0	0	0	0.002	0.02	0	0.002	0	0.006	0.006	0.006	0	0	0.014	0	0.008	0.01	0	0.012	0.008	0.358	0	0.006	0.012	0	0	0.004	0.006	0.032	0.012	0.024	0.002	0.002	0.03	0.008	0	0.016	0	0.004	0.004	0.024	0	0	0.002	0	0	0	0	0.056	0.002	0.024	0.014	0.082	0	0.002	0.034	0.002	0.048	0	0.008	0	0.002	0	0	0.02	"noise"	0.358	0.303082880273316	""	""	1	1095	"noise"	0
